study,request_id,prompt,answer
CalarcoS38,CalarcoS38_0,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues<u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Daniel Kahneman</author>
<author>Carol S. Dweck</author>
<author>Robert B. Cialdini</author>
<author>Leon Festinger</author>
<author>Richard E. Nisbett</author>"
CalarcoS38,CalarcoS38_1,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Elizabeth Loftus</author>
<author>Deborah Prentice</author>
<author>Dave Nussbaum</author>
<author>Susan Fiske</author>
<author>Richard Nisbett</author>"
CalarcoS38,CalarcoS38_2,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Paul Ekman</author>
<author>Richard Nisbett</author>
<author>Timothy Wilson</author>"
CalarcoS38,CalarcoS38_3,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child– but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Daniel Kahneman</author>
<author>Robert Cialdini</author>
<author>Amos Tversky</author>
<author>Richard Thaler</author>
<author>Steven Pinker</author>"
CalarcoS38,CalarcoS38_4,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues<u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Richard E. Nisbett</author>
<author>Lee Ross</author>
<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Susan T. Fiske</author>"
CalarcoS38,CalarcoS38_5,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Richard Petty</author>
<author>Claude Steele</author>
<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Carol Dweck</author>"
CalarcoS38,CalarcoS38_6,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Susan Fiske</author>
<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Richard Nisbett</author>
<author>C. Daniel Batson</author>"
CalarcoS38,CalarcoS38_7,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor staying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Leon Festinger</author>
<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Elizabeth Loftus</author>
<author>Robert Cialdini</author>"
CalarcoS38,CalarcoS38_8,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Richard Nisbett</author>
<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Paul Slovic</author>
<author>Susan Fiske</author>"
CalarcoS38,CalarcoS38_9,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues<u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)","<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Paul Bloom</author>
<author>Susan Fiske</author>
<author>Robert Cialdini</author>"
Cohen1099,Cohen1099_0,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.

Michael recently graduated from high school and is starting college this fall. His mother and father, both lawyers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Michael will graduate with no debt.
How unlikely or likely would you be to recommend history?
Scale: 1 (Very unlikely) to 6 (Very likely)","<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Robert Cialdini</author>
<author>Carol Dweck</author>
<author>Richard Thaler</author>"
Cohen1099,Cohen1099_1,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Make FIVE guesses about possible authors of the study.
- Write each author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match any of your guesses. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your each answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.

Emily recently graduated from high school and is starting college this fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Emily will graduate with no debt.
How unlikely or likely would you be to recommend accounting?
Scale: 1 (Very unlikely) to 6 (Very likely)","<author>Daniel Kahneman</author>
<author>Amos Tversky</author>
<author>Robert Cialdini</author>
<author>Nassim Nicholas Taleb</author>
<author>Steven Pinker</author>"
