study,request_id,prompt,answer
CalarcoS38,CalarcoS38_0,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>John Darley</author>
CalarcoS38,CalarcoS38_1,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Meagan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Daniel Kahneman</author>
CalarcoS38,CalarcoS38_2,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Daniel M. T. Fessler</author>
CalarcoS38,CalarcoS38_3,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor staying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Daniel Kahneman</author>
CalarcoS38,CalarcoS38_4,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor staying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Susan Fiske</author>
CalarcoS38,CalarcoS38_5,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Meagan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Elizabeth Loftus</author>
CalarcoS38,CalarcoS38_6,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>John Bargh</author>
CalarcoS38,CalarcoS38_7,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Daniel M. T. Fessler</author>
CalarcoS38,CalarcoS38_8,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Meagan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Daniel Effron</author>
CalarcoS38,CalarcoS38_9,"# Task description 
Below you will see a sample of text that was shown to participants in a social science study. Your task is to guess who authored the study.
- Guess ONE author of the study- Write the author's first and last names only (no initials, titles, etc)
- If you don't know, make your best guess. You will be graded as correct if any of the study's true authors match your guess. DO NOT say ""I don't know"", or write placeholder answers like ""John Doe"".
- Provide your answer wrapped in `author` tags, like this: <author>firstname lastname</author>

# Study text
Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.

Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child– but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?
Scale: 1 (Strongly Disapprove) to 5 (Strongly Approve)",<author>Richard E. Nisbett</author>
